"","id_student","dataplus","dualpane","forumng","glossary","homepage","htmlactivity","oucollaborate","oucontent","ouwiki","page","questionnaire","quiz","repeatactivity","resource","subpage","url","CMA","TMA","num_of_prev_attempts","studied_credits","final_result","disability","age_band","imd_band","highest_education","region","gender","disabilityt"
"19",-1.31612735578891,-0.659018728288539,-0.512243837198409,0.265431933089215,-0.215841620880777,-0.240215596214943,0.448467070264851,-0.00339689030310229,0.176290637838241,-0.136807245796907,0.116362865191082,-1.19392774231158,0.170715637688504,-0.0233316483306879,-0.623982784665946,-0.884189278835263,0.195874810926848,0.823301315139184,0.499393752418599,-0.355337182077513,-0.775717548616826,3,1,1,5,1,12,1,1
"26",-1.295174791402,0.829371289077943,0.596059705612112,0.3930155160833,-0.215841620880777,1.48919945480442,-0.170160647785918,0.227188598746782,0.984179212256401,0.202993048840409,0.116362865191082,0.436425000874458,-0.483562445709673,-0.0233316483306879,-0.291088503848874,1.36766953379004,-0.0392004038590768,0.844459422639192,0.93150159172956,-0.355337182077513,0.0194795143346859,1,1,2,8,1,5,2,1
"29",-1.28971937708994,-0.659018728288539,-0.512243837198409,0.0770882905570286,-0.215841620880777,-0.108259445850221,-0.108297875980841,1.36410316281218,-0.509547184036622,-0.447481800893882,0.116362865191082,-1.19392774231158,0.714784941436848,-0.0233316483306879,-0.473853991356287,-0.579128066071053,-0.194111720515239,0.353591328639019,0.259708935300801,-0.355337182077513,0.814676577286198,3,2,1,7,3,11,1,2
"31",-1.27481232701794,-0.659018728288539,-0.512243837198409,-0.891981103794901,-0.215841620880777,-0.868326871951023,-0.479474506811302,-0.989790371238718,0.729492414725426,0.22564640181623,0.116362865191082,1.05853328445861,0.648904650764872,-0.0233316483306879,-0.689256173061451,-1.09822939268116,-0.532100047765048,0.550361728389088,-1.53511399100384,-0.355337182077513,-0.775717548616826,2,1,1,11,3,11,1,1
"60",-1.16334966219389,-0.659018728288539,-0.512243837198409,-0.0493554669754423,-0.215841620880777,-0.931885751043364,-0.0155037182732255,-0.0930690249336129,-0.277092737019306,-1.22416818863632,0.116362865191082,-1.19392774231158,0.432942618433717,-0.0233316483306879,-0.674193083431719,0.0803424968162817,0.177675439459551,0.307043492139003,0.539903862354002,-0.355337182077513,-0.775717548616826,3,1,1,10,1,3,1,1
"63",-1.15199726213906,-0.659018728288539,-0.512243837198409,-0.649630568524331,-0.215841620880777,0.0875223034852402,0.448467070264851,-0.989790371238718,-0.0166024735051258,0.474833284550261,0.116362865191082,-1.19392774231158,0.0384490732932497,-0.0233316483306879,-0.646686571933948,-0.13983415430032,-0.00634042759867831,0.52708781013908,0.728951042052547,-0.355337182077513,-0.775717548616826,3,1,1,1,1,9,1,1
"65",-1.14403291924345,-0.659018728288539,-0.512243837198409,-0.344668190159832,-0.215841620880777,-0.381682099759105,-0.479474506811302,1.44416756873228,-0.852847964585342,-0.136807245796907,0.116362865191082,1.05853328445861,0.433610419306745,-0.0233316483306879,-0.674193083431719,0.147102361304668,-0.532100047765048,0.52708781013908,-0.499855625987996,-0.355337182077513,-0.775717548616826,3,1,2,9,3,2,1,1
"70",-1.12201857627998,-0.659018728288539,-0.512243837198409,-0.682505945482774,-0.215841620880777,-0.614091355581657,-0.479474506811302,0.131111311642663,-0.212522057292274,-0.40864748150676,0.116362865191082,-1.19392774231158,0.509492385175308,-0.0233316483306879,0.394282074303922,-0.283003208228356,-0.269220237681863,-0.0864973073611356,-1.21553423484677,-0.355337182077513,-0.775717548616826,3,1,1,4,1,5,1,1
"72",-1.11876901197857,0.643322536907132,1.70436324842263,-0.857264528261863,-0.215841620880777,-0.039536983495032,-0.479474506811302,0.803652321371492,0.856314568886968,-0.0824391986549368,0.116362865191082,0.484376552144636,-0.10350771523066,-0.0233316483306879,-0.493436007874938,0.459754409905833,-0.0145554216637781,0.472076730639061,0.620924082224806,-0.355337182077513,0.0194795143346859,3,1,1,5,1,5,1,1
"79",-1.07527422605422,1.32550129486677,0.596059705612112,-0.418972681799775,-0.215841620880777,-0.351172273188291,0.448467070264851,-0.989790371238718,0.213154288432961,1.09238338523895,0.116362865191082,0.634156569270019,-0.617460936596445,-0.0233316483306879,0.121290586634623,-0.836506246630492,-0.269220237681863,0.823301315139184,0.93150159172956,-0.355337182077513,0.0194795143346859,3,1,1,3,3,13,1,1
